name,type,D,logMBH,e_logMBH,logsig,logLK,e_logLK,logMbulge,e_logMbulge,logTxc,e_logTxc,logR500,logM500,logLx500,central
N5846,E0-1,24.9,9.04,0.06,2.35,11.46,0.09,11.62,0.16,-0.12,0.05,2.62,13.314,42.08,BGG:N5846
N1277,S0,71.0,9.06,0.11,2.5,11.07,0.08,10.98,0.09,0.01,0.05,2.68,13.494,40.15,N1275(Perseus)
IC4296,E0,49.2,9.11,0.07,2.51,11.83,0.07,11.78,0.09,0.06,0.06,2.71,13.584,42.0,BCG:A3565
N7768,E4,116.0,9.13,0.18,2.42,11.91,0.19,11.75,0.09,-0.05,0.08,2.66,13.434,41.84,BFG:A2666
U12064,E/S0,72.5,9.16,0.52,2.41,11.25,0.17,11.3,0.19,0.0,0.04,2.68,13.494,41.04,BFG:3C449
N6240S,S0/I0,105.0,9.17,0.21,2.44,11.84,0.09,11.35,0.13,-0.06,0.05,2.65,13.404,41.49,isolated
N6861,E4/SA0,27.3,9.3,0.08,2.59,11.14,0.13,11.21,0.09,-0.03,0.04,2.67,13.464,40.74,N6868(Tel.)
N4649,E2,16.5,9.32,0.12,2.43,11.66,0.06,11.64,0.09,-0.04,0.04,2.66,13.434,40.94,N4486/N4472
N7619,E3,51.5,9.34,0.1,2.51,11.61,0.12,11.65,0.09,0.0,0.04,2.68,13.494,42.65,BGG:Pegasus
N4472,E2,17.1,9.4,0.04,2.4,11.75,0.07,11.86,0.09,0.3,0.05,2.84,13.974,43.38,BCG$_1$:Virgo
N3923,E4,20.9,9.45,0.12,2.35,11.5,0.11,11.56,0.09,-0.24,0.04,2.55,13.104,40.92,BGG:N3923
N3091,E3,51.2,9.56,0.07,2.49,11.62,0.12,11.58,0.09,-0.06,0.04,2.65,13.404,42.08,BGG:HCG42
N1550,E1/cD,51.6,9.57,0.07,2.48,11.32,0.1,11.31,0.09,0.14,0.04,2.75,13.704,43.2,BGG:N1550
N6086,E/cD,138.0,9.57,0.17,2.5,11.87,0.08,11.69,0.09,0.18,0.07,2.77,13.764,42.59,BGG:A2162
A1836$_\textrm{B}$,E,152.4,9.57,0.06,2.46,11.75,0.06,11.81,0.1,0.22,0.05,2.8,13.854,42.7,BCG:A1836
N1407,E0,28.0,9.65,0.08,2.45,11.72,0.12,11.71,0.09,0.08,0.06,2.72,13.614,42.08,BGG:Eridanus
N5328,E1,64.1,9.67,0.16,2.52,11.71,0.09,11.75,0.19,-0.02,0.2,2.67,13.464,41.8,BGG:N5328
M1216,E,94.0,9.69,0.16,2.49,11.29,0.09,11.37,0.09,-0.1,0.05,2.63,13.344,41.83,isolated
N4486,E1/cD,16.7,9.81,0.05,2.42,11.61,0.05,11.72,0.09,0.3,0.05,2.84,13.974,43.38,BCG$_2$:Virgo
N5419,E,56.2,9.86,0.14,2.57,12.0,0.09,12.01,0.15,0.32,0.04,2.85,14.004,42.52,BCG:AS753
N3842,E1,92.2,9.96,0.14,2.44,11.81,0.11,11.77,0.09,0.51,0.04,2.95,14.304,44.06,BCG:A1367
N1600,E3,64.0,10.23,0.04,2.47,11.86,0.08,11.92,0.1,0.21,0.09,2.79,13.824,41.52,BGG:N1600
N4889,E4/cD,102.0,10.32,0.44,2.56,12.13,0.05,12.3,0.1,0.86,0.06,3.14,14.874,44.88,BCG:Coma
