edge,presence,orient_frac
BH_MASS o-o DM_MASS,1.0,1.0
DM_MASS o-> GAS_MASS,1.0,1.0
DM_MASS o-o LOG_SIGMA,1.0,1.0
DM_MASS --> STAR_METALLICITY,1.0,1.0
GAS_MASS --> GAS_METALLICITY,1.0,1.0
LOG_SIGMA o-o STELLAR_MASS,1.0,1.0
GAS_MASS <-o SSFR,1.0,1.0
GAS_METALLICITY <-- SSFR,1.0,1.0
GAS_METALLICITY <-- STAR_METALLICITY,1.0,1.0
STAR_METALLICITY <-- STELLAR_MASS,1.0,1.0
